Alloy_or_not,Pt_or_not,Weight_ratio (wt%),Particle_size (nm),Surface_area (m2/g),N_doped (at%),pH,Current_density (mA/cm2),Overpotential (mV)
0,1,1.4,0.36,586.9,12.1,0.3,100,89.1
1,1,4.42,2.57,630.3,0.0,0.3,100,43.1
0,1,0.13,5.0,461.0,11.62,0.3,10,210.0
0,1,7.49,5.0,128.4,3.5,7.4,20,26.0
1,0,2.05,3.5,716.3,0.0,0.3,60,164.0
1,1,7.49,5.0,287.0,4.69,14.0,100,50.0
1,0,12.5,15.0,373.0,8.1,14.0,20,228.0
1,0,2.05,3.5,716.3,0.0,14.0,80,138.0
0,1,11.24,10.0,96.5,3.4,14.0,20,96.0
1,0,22.0,9.76,157.0,0.0,0.3,20,376.0
1,0,9.92,10.0,170.41,7.86,13.0,20,169.0
0,0,10.0,4.0,47.4,0.0,14.0,50,209.0
1,1,7.49,5.0,287.0,4.69,14.0,10,7.0
0,0,14.55,39.1,208.9,1.34,14.0,10,108.0
1,0,17.92,5.9,30.341,0.0,14.0,10,11.7
1,0,22.0,9.76,157.0,0.0,0.3,40,424.0
1,0,27.9,10.0,87.86,1.66,0.3,50,231.0
0,1,20.0,3.32,200.1,0.0,0.3,40,63.0
1,0,4.28,10.57,365.16,1.5,14.0,10,240.0
1,0,15.4,30.0,257.2,1.8,14.0,10,27.0
0,0,15.98,32.8,108.4,1.64,14.0,50,370.0
1,0,9.81,10.0,135.6,0.8,14.0,80,132.0
1,0,11.23,28.0,169.47,0.0,14.0,10,78.0
1,0,91.4,20.0,83.5,0.0,14.0,50,212.0
1,0,6.69,19.3,302.0,3.4,14.0,50,499.0
1,1,7.91,7.3,658.0,1.77,14.0,20,136.0
0,1,15.7,2.93,46.7,0.0,0.3,10,16.5
1,1,3.5,5.0,1715.0,2.08,13.0,10,224.0
1,0,6.69,19.3,302.0,3.4,14.0,40,482.0
0,0,4.1,5.0,193.9,1.8,0.3,20,285.0
1,0,9.81,10.0,135.6,0.8,0.3,100,195.0
0,0,1.01,3.0,647.6,0.0,14.0,10,22.0
1,0,31.48,29.6,8.7,4.34,14.5,20,230.0
1,1,4.42,2.57,630.3,0.0,0.3,50,31.9
1,0,7.31,34.2,292.0,3.4,14.0,60,450.0
1,0,37.0,10.0,110.3494,2.24,0.3,200,325.0
1,0,6.84,3.5,716.3,0.0,14.0,60,100.0
0,1,7.49,5.0,128.4,3.5,0.3,20,31.0
1,0,7.5,5.2,490.0,0.0,0.3,10,145.0
1,0,6.69,19.3,302.0,3.4,14.0,20,439.0
1,0,37.0,10.0,110.3494,2.24,0.3,80,234.0
0,0,10.0,4.0,47.4,0.0,14.0,10,114.0
0,1,0.1,0.35,28.0,0.0,0.3,10,61.3
0,1,10.0,3.5,254.0,0.0,0.3,10,30.0
1,0,14.0,25.0,193.9,3.1,0.3,50,279.0
1,0,37.0,10.0,110.3494,2.24,0.3,10,119.0
0,1,5.2,1.6,1349.0,0.0,0.3,20,43.0
0,0,7.1,6.6,268.29,0.0,0.3,20,189.0
0,0,18.52,35.0,238.5,1.22,14.0,50,350.0
0,0,1.01,3.0,647.6,0.0,0.3,10,65.0
1,1,27.0,1.9,161.0,32.34,0.3,20,82.0
1,0,2.17,2.5,1.03,0.0,0.3,10,34.0
0,1,10.2,2.0,402.0,0.0,0.3,20,34.6
1,1,3.9,1.6,1349.0,0.0,0.3,10,43.7
1,0,2.05,3.5,716.3,0.0,7.4,50,162.0
0,0,60.2,4.8,78.9,1.89,0.3,60,147.0
0,1,7.49,5.0,128.4,3.5,14.0,10,47.0
0,1,0.35,1.0,92.85,0.0,1.0,150,233.0
0,0,15.98,32.8,108.4,1.64,14.0,100,419.0
1,0,2.05,3.5,716.3,0.0,0.3,20,120.0
0,0,55.61,20.0,91.98,2.15,0.3,10,589.0
0,1,0.35,1.0,92.85,0.0,0.3,100,157.0
1,1,11.44,7.1,476.0,1.74,14.0,10,126.0
1,1,11.44,7.1,476.0,1.74,14.0,40,293.0
1,1,10.11,6.0,347.0,4.3,14.0,20,79.0
0,1,0.95,3.0,1020.36,11.2,0.3,60,85.0
0,0,62.09,4.8,43.3,0.87,7.4,20,327.0
1,0,4.43,3.5,716.3,0.0,14.0,100,101.0
1,0,100.0,5.0,4.3,0.0,14.0,60,96.0
0,1,0.35,1.0,92.85,0.0,0.7,200,291.0
0,1,1.7,1.0,490.8,18.8,0.3,50,67.0
1,1,3.9,1.6,1349.0,0.0,0.3,20,65.0
1,1,9.87,7.2,730.0,1.96,14.0,60,397.0
1,0,8.74,18.0,356.0,3.4,14.0,10,458.0
0,0,4.31,2.65,603.8,0.0,0.3,60,134.3
1,0,37.0,10.0,110.3494,2.24,14.0,20,60.0
0,1,9.58,2.1,839.24,27.0,0.3,60,90.0
0,0,60.2,4.8,78.9,1.89,14.0,10,130.0
0,0,15.98,32.8,108.4,1.64,14.0,10,225.0
0,1,18.7,4.0,527.0,6.98,0.3,40,79.0
1,1,2.5,1.6,1349.0,0.0,0.3,10,55.3
1,0,9.81,10.0,135.6,0.8,7.4,20,136.0
0,1,0.5,0.35,282.0,12.08,0.3,40,146.0
1,1,11.52,2.1,844.1,27.0,0.3,80,60.0
0,0,38.68,3.65,43.1,0.0,0.3,50,221.0
1,0,20.3,10.0,712.0,0.0,7.4,50,312.0
1,1,8.28,5.0,323.0,0.0,14.0,100,92.7
0,0,63.27,4.8,37.4,1.63,14.0,20,330.0
1,1,27.0,1.9,161.0,32.34,0.3,10,53.0
0,1,1.5,0.35,28.0,0.0,0.3,10,66.0
1,1,10.11,6.0,347.0,4.3,14.0,40,139.0
0,0,12.03,12.5,232.2,4.39,14.0,20,262.0
1,0,9.92,10.0,170.41,7.86,13.0,10,130.0
1,1,17.66,10.0,388.9,8.7,0.3,20,167.0
0,1,4.0,1.56,1135.0,12.0,0.3,50,17.4
0,1,0.323,0.35,86.51,0.68,0.3,100,90.5
1,0,29.4,21.0,271.0,3.25,14.0,60,378.0
1,1,6.16,7.2,680.0,1.82,14.0,20,73.0
1,1,3.9,1.6,1349.0,0.0,0.3,40,91.0
1,0,2.05,3.5,716.3,0.0,14.0,50,114.0
0,1,15.7,2.93,46.7,0.0,14.0,20,56.0
0,0,1.01,3.0,647.6,0.0,7.4,20,185.0
1,0,63.33,30.0,30.3,10.06,14.0,20,126.0
0,1,10.0,3.5,254.0,0.0,14.0,10,64.0
1,0,9.87,15.6,358.0,3.4,14.0,60,519.0
1,0,37.0,10.0,110.3494,2.24,14.0,60,123.0
0,0,0.0,0.0,485.0,4.52,0.3,10,626.0
0,1,10.0,3.5,254.0,0.0,0.3,60,64.7
1,0,2.05,3.5,716.3,0.0,7.4,60,174.0
1,0,4.43,3.5,716.3,0.0,14.0,40,59.0
0,1,9.5,5.0,109.75,4.5,0.3,20,37.5
0,0,11.4,13.0,44.98,0.0,0.3,20,286.0
0,0,18.08,25.0,329.6,1.22,14.0,50,414.0
0,0,61.52,4.8,47.2,2.53,14.0,20,220.0
1,1,3.9,1.6,1349.0,0.0,0.3,80,122.0
1,1,3.9,1.6,1349.0,0.0,0.3,100,134.0
1,0,7.16,10.0,148.29,8.62,13.0,40,360.0
0,0,1.01,3.0,647.6,0.0,14.0,50,86.0
1,0,22.4,30.0,257.2,2.3,14.0,50,211.0
1,0,23.58,13.8,8.8,10.93,14.0,10,147.0
1,0,4.43,3.5,716.3,0.0,7.4,10,39.0
0,0,1.01,3.0,647.6,0.0,0.3,80,133.0
1,0,37.0,10.0,110.3494,2.24,0.3,40,185.0
0,1,9.58,2.1,839.24,27.0,0.3,50,80.0
0,0,85.0,20.0,62.8,0.0,14.0,10,110.0
1,0,22.4,30.0,257.2,2.3,14.0,20,118.0
0,1,20.3,4.24,36.1,0.0,14.0,10,63.0
0,0,1.86,10.0,970.0,0.0,0.3,50,170.0
1,1,5.24,5.12,105.2,0.0,0.3,60,115.6
0,1,0.35,1.0,92.85,0.0,0.5,50,94.0
0,0,19.99,30.0,541.2,17.36,13.0,60,232.0
0,1,0.323,0.35,86.51,0.68,0.3,40,64.0
0,1,4.8,2.85,426.0,4.3,0.3,20,47.0
1,0,91.4,20.0,83.5,0.0,14.0,20,149.0
1,1,6.69,19.3,302.0,3.4,14.0,60,513.0
1,0,6.84,3.5,716.3,0.0,0.3,40,133.0
1,0,48.02,40.0,97.4,5.62,0.3,10,248.0
1,1,4.42,2.57,630.3,0.0,0.3,10,19.7
0,1,0.323,0.35,86.51,0.68,0.3,50,69.5
0,1,3.24,5.0,1715.0,1.23,13.0,10,80.0
1,1,27.91,20.0,110.1,15.94,0.3,10,63.0
1,0,22.0,9.76,157.0,0.0,0.3,80,477.0
0,0,30.24,13.86,157.0,0.0,0.3,50,522.0
0,0,60.2,4.8,78.9,1.89,14.0,60,197.0
1,1,10.74,7.2,717.0,1.9,14.0,40,184.0
0,1,0.35,1.0,92.85,0.0,0.5,40,81.0
0,1,0.44,0.35,900.0,2.75,14.0,50,38.0
0,1,19.82,2.84,259.8,0.0,0.3,40,37.4
0,1,20.0,3.32,200.1,0.0,0.3,50,67.0
1,1,27.91,20.0,110.1,15.94,13.0,50,67.0
0,0,41.57,5.35,68.8,0.0,0.3,40,141.0
1,1,6.16,7.2,680.0,1.82,14.0,10,40.0
0,0,62.09,4.8,43.3,0.87,14.0,50,337.0
1,0,100.0,5.0,4.3,0.0,14.0,80,124.0
1,0,27.9,10.0,87.86,1.66,14.0,250,338.0
0,0,62.09,4.8,43.3,0.87,7.4,40,453.0
0,1,1.7,1.0,490.8,18.8,0.3,40,64.0
0,1,0.34,1.0,89.4,0.0,0.3,40,62.0
0,1,10.0,3.5,254.0,0.0,0.3,40,57.6
1,1,10.74,7.2,717.0,1.9,14.0,10,69.0
1,1,6.36,7.3,702.0,1.89,14.0,100,394.0
0,0,14.55,39.1,208.9,1.34,14.0,20,180.0
0,1,2.3,2.1,660.0,0.0,0.3,50,61.2
1,0,7.16,10.0,148.29,8.62,13.0,10,313.0
0,0,55.61,20.0,91.98,2.15,13.0,20,327.0
0,0,14.55,39.1,208.9,1.34,14.0,100,367.0
0,1,10.0,3.5,254.0,0.0,14.0,20,161.0
1,0,6.42,15.0,80.9,4.54,0.3,10,287.0
0,1,0.35,1.0,92.85,0.0,1.0,200,307.0
1,0,18.93,28.0,312.6,1.22,14.0,10,203.0
1,0,2.05,3.5,716.3,0.0,14.0,10,43.0
0,0,61.52,4.8,47.2,2.53,0.3,40,234.0
0,1,2.0,0.61,282.0,12.08,0.3,20,43.0
1,0,11.23,28.0,169.47,0.0,14.0,100,259.0
0,0,60.2,4.8,78.9,1.89,0.3,40,135.0
0,0,18.5,10.0,1262.0,0.0,0.3,10,414.0
0,1,14.0,2.5,2809.7,37.69,14.0,20,93.0
0,0,18.08,25.0,329.6,1.22,14.0,60,430.0
1,0,4.19,12.5,124.09,1.6,14.0,40,598.0
1,1,6.95,2.5,2809.7,37.69,0.3,20,38.0
1,1,6.95,2.5,2809.7,37.69,14.0,20,83.0
0,0,3.11,11.4,289.13,1.95,14.0,10,300.0
0,0,10.0,4.0,47.4,0.0,14.0,80,272.0
0,1,14.0,2.5,2809.7,37.69,0.3,50,90.0
1,0,25.15,23.3,2.8,9.88,14.3,10,120.0
1,0,43.86,20.0,146.3,9.36,0.3,10,248.9
1,0,14.0,25.0,193.9,3.1,0.3,40,245.0
0,1,0.5,0.35,28.0,0.0,0.3,40,125.0
0,1,3.75,5.0,136.6,3.7,14.0,10,55.0
0,1,31.4,5.0,485.0,4.52,0.3,10,50.0
1,0,91.4,20.0,83.5,0.0,14.0,60,224.0
1,0,37.0,10.0,110.3494,2.24,0.3,150,294.0
0,1,11.24,10.0,96.5,3.4,7.4,20,80.0
0,1,19.0,3.0,92.85,0.0,0.3,50,105.0
0,0,63.27,4.8,37.4,1.63,7.4,60,632.0
0,0,10.74,10.0,204.2,0.0,14.0,50,205.0
0,1,10.0,3.5,254.0,0.0,0.3,60,88.5
0,1,2.17,4.0,604.94,0.0,14.0,20,95.0
1,0,2.17,2.5,1.03,0.0,14.0,20,123.0
0,0,62.09,4.8,43.3,0.87,0.3,50,327.0
0,0,4.31,2.65,603.8,0.0,0.3,80,150.8
1,1,14.2,7.2,588.0,1.48,14.0,50,348.0
0,0,10.0,4.0,47.4,0.0,14.0,100,308.0
1,0,45.2,30.0,184.92,3.58,0.3,60,41.0
1,1,10.74,7.2,717.0,1.9,14.0,80,306.0
0,0,85.0,20.0,62.8,0.0,14.0,60,224.0
1,0,27.9,10.0,87.86,1.66,0.3,80,263.0
0,0,63.27,4.8,37.4,1.63,7.4,10,326.0
0,1,14.0,2.5,2809.7,37.69,0.3,10,58.0
0,1,3.6,3.2,516.0,12.4,1.0,20,103.0
0,0,1.01,3.0,647.6,0.0,0.3,40,107.0
0,1,7.2,3.76,2871.0,3.53,14.0,20,53.5
1,0,14.0,25.0,193.9,3.1,0.3,10,63.0
0,1,19.0,3.0,92.85,0.0,0.3,200,296.0
0,1,5.8,4.3,27.2,0.0,0.3,50,70.4
1,1,9.87,7.2,730.0,1.96,14.0,20,161.0
0,1,7.49,5.0,128.4,3.5,0.3,10,27.0
0,0,60.2,4.8,78.9,1.89,0.3,50,141.0
0,0,61.52,4.8,47.2,2.53,7.4,20,228.0
1,0,4.43,3.5,716.3,0.0,7.4,20,57.0
1,0,63.33,30.0,30.3,10.06,14.0,10,100.0
0,1,19.82,2.84,259.8,0.0,0.3,60,46.2
0,1,4.8,4.75,426.0,4.3,0.3,10,38.0
0,0,61.52,4.8,47.2,2.53,0.3,60,267.0
1,0,9.81,10.0,135.6,0.8,14.0,60,102.0
1,0,23.58,13.8,8.8,10.93,14.0,40,249.0
0,0,15.98,32.8,108.4,1.64,14.0,40,355.0
1,1,7.64,7.3,681.0,1.8,14.0,80,216.0
0,0,19.26,21.04,157.0,0.0,0.3,40,543.0
1,1,11.44,7.1,476.0,1.74,14.0,50,333.0
1,1,14.2,7.2,588.0,1.48,14.0,60,391.0
1,1,1.5,0.35,1247.81,4.8,0.3,20,262.0
1,0,37.0,10.0,110.3494,2.24,7.4,100,518.0
0,1,14.0,2.5,2809.7,37.69,14.0,10,50.0
0,1,3.75,5.0,136.6,3.7,0.3,40,41.8
1,0,100.0,1.3,43.54,0.0,14.0,10,32.0
0,1,7.1,1.5,254.0,0.0,0.3,20,27.0
0,0,60.2,4.8,78.9,1.89,7.4,40,210.0
0,1,9.5,5.0,109.75,4.5,0.3,150,141.0
1,1,7.64,7.3,681.0,1.8,14.0,60,172.0
1,1,5.24,5.12,105.2,0.0,0.3,50,105.7
0,0,85.0,20.0,62.8,0.0,14.0,150,291.0
0,0,36.69,15.0,128.7,2.69,14.0,40,212.0
1,0,10.0,5.0,50.66,0.0,14.0,40,145.0
0,0,60.2,4.8,78.9,1.89,0.3,10,100.0
1,1,27.0,1.9,161.0,32.34,13.0,20,81.0
1,0,22.4,30.0,257.2,2.3,0.3,100,354.0
0,1,7.2,3.76,2871.0,3.53,0.3,20,18.2
0,0,30.24,13.86,157.0,0.0,0.3,20,472.0
1,0,23.58,13.8,8.8,10.93,14.0,50,271.0
0,1,0.25,0.35,282.0,12.08,0.3,20,141.0
1,0,61.2,16.0,240.05,0.0,0.3,20,55.0
1,0,20.35,14.51,157.0,0.0,0.3,50,304.0
1,0,7.16,10.0,148.29,8.62,13.0,20,340.0
0,1,19.82,2.84,259.8,0.0,0.3,50,40.7
0,1,5.2,1.6,1349.0,0.0,0.3,10,33.0
0,1,7.2,3.76,2871.0,3.53,7.4,20,79.3
1,1,10.74,7.2,717.0,1.9,14.0,20,112.0
1,0,19.15,20.0,320.1,1.22,14.0,20,268.0
0,0,10.74,10.0,204.2,0.0,14.0,20,152.0
0,0,63.27,4.8,37.4,1.63,7.4,50,586.0
0,0,63.27,4.8,37.4,1.63,0.3,50,385.0
1,0,37.0,10.0,110.3494,2.24,0.3,20,149.0
0,0,4.31,2.65,603.8,0.0,0.3,100,166.4
1,0,9.81,10.0,135.6,0.8,14.0,100,159.0
1,0,63.33,30.0,30.3,10.06,14.0,60,169.0
0,1,7.49,5.0,128.4,3.5,0.3,200,57.0
1,0,6.69,19.3,302.0,3.4,14.0,10,398.0
0,1,0.21,4.0,92.85,0.0,0.3,50,230.0
1,1,8.28,5.0,323.0,0.0,14.0,10,16.0
0,0,10.74,10.0,204.2,0.0,14.0,40,188.0
1,0,63.33,30.0,30.3,10.06,14.0,50,161.0
0,0,64.0,5.35,49.2,0.0,0.3,50,156.4
0,1,7.1,1.5,254.0,0.0,0.3,10,24.0
0,0,18.5,10.0,1262.0,0.0,7.4,10,709.0
1,1,1.5,0.35,586.82,4.8,0.3,20,93.0
1,1,6.36,7.3,702.0,1.89,14.0,50,264.0
0,1,3.8,2.0,500.0,18.0,0.3,10,39.0
1,1,27.91,19.0,110.1,13.4,13.0,10,26.7
0,0,47.85,35.1,150.4,1.0,14.0,40,138.0
0,1,14.0,2.5,2809.7,37.69,0.3,60,96.0
1,1,4.24,2.75,1054.7,0.89,14.0,10,67.0
0,0,10.74,10.0,204.2,0.0,14.0,60,218.0
0,0,3.11,11.4,289.13,1.95,14.0,50,410.0
0,0,4.1,5.0,193.9,1.8,0.3,40,403.0
0,0,1.01,3.0,647.6,0.0,0.3,60,122.0
1,1,5.24,5.12,105.2,0.0,0.3,20,65.0
0,0,12.03,12.5,232.2,4.39,14.0,60,406.0
1,0,19.15,20.0,320.1,1.22,14.0,60,338.0
0,1,7.49,5.0,128.4,3.5,14.0,20,73.0
0,0,19.99,30.0,541.2,17.36,13.0,50,222.0
0,1,11.24,10.0,96.5,3.4,0.3,20,36.7
0,1,1.26,4.2,604.94,0.0,14.0,10,42.0
1,0,91.4,20.0,83.5,0.0,14.0,80,244.0
0,0,43.52,4.52,64.3,0.0,0.3,10,117.6
0,0,47.85,35.1,150.4,1.0,14.0,20,121.0
0,1,5.4,0.35,122.0,0.0,0.0,50,71.0
1,0,23.73,11.58,157.0,0.0,0.3,40,486.0
0,0,1.01,3.0,647.6,0.0,7.4,10,129.0
1,1,6.36,7.3,702.0,1.89,14.0,80,346.0
0,1,5.8,4.3,27.2,0.0,0.3,60,76.3
1,0,22.4,30.0,257.2,2.3,14.0,60,239.0
0,0,85.0,20.0,62.8,0.0,14.0,20,147.0
0,1,0.34,1.0,89.4,0.0,0.3,50,70.0
1,0,45.2,30.0,184.92,3.58,0.3,50,36.0
1,0,27.9,10.0,87.86,1.66,7.4,10,254.0
1,0,35.39,8.9,100.06,0.0,14.0,10,27.0
0,0,1.86,10.0,970.0,0.0,14.0,40,105.0
0,1,17.2,3.05,55.8,0.0,0.3,20,21.0
0,1,0.35,1.0,92.85,0.0,0.5,20,58.0
0,0,62.09,4.8,43.3,0.87,0.3,20,239.0
1,0,37.0,10.0,110.3494,2.24,14.0,200,254.0
1,0,27.9,10.0,87.86,1.66,14.0,60,177.0
0,1,1.26,4.2,604.94,0.0,14.0,60,105.0
1,0,27.9,10.0,87.86,1.66,14.0,100,223.0
